report_number	local_case_number	agency_name	acrs_report_type	crash_date_time	route_type	collision_type	weather	surface_condition	light	traffic_control	driver_substance_abuse	person_id	driver_at_fault	injury_severity	driver_distracted_by	vehicle_id	vehicle_damage_extent	vehicle_movement	speed_limit	driverless_vehicle	vehicle_year	vehicle_make	vehicle_model	equipment_problems	drivers_license_state	vehicle_body_type	non_motorist_substance_abuse
HA2485000S	22002124	Maryland-National Capital	Property Damage Crash	2022-12-07T11:10:00.000	Government	OTHER	RAINING	WET	DAYLIGHT	NO CONTROLS	NONE DETECTED	D2AA73EA-F4F7-4F84-AF3E-8D99523D413F	No	NO APPARENT INJURY	NOT DISTRACTED	44441E73-1468-4CF9-9119-D578956ED24D	FUNCTIONAL	MOVING CONSTANT SPEED	25	No	2015	TOYT	SD	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP3129005R	220054006	Montgomery County Police	Injury Crash	2022-12-07T08:42:00.000	Maryland (State)	STRAIGHT MOVEMENT ANGLE	RAINING	WET	DAYLIGHT	NO CONTROLS	NONE DETECTED	19A08597-CAD5-4300-A540-54B3FAD3813F	Yes	SUSPECTED MINOR INJURY	LOOKED BUT DID NOT SEE	C8531D31-8A62-4D74-9A21-3814A128F0DF	DISABLING	STARTING FROM LANE	35	No	2013	HONDA	CRV	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP3129005R	220054006	Montgomery County Police	Injury Crash	2022-12-07T08:42:00.000	Maryland (State)	STRAIGHT MOVEMENT ANGLE	RAINING	WET	DAYLIGHT	NO CONTROLS	NONE DETECTED	6754594C-F887-4569-A594-62C93E426A7F	No	NO APPARENT INJURY	NOT DISTRACTED	662B070D-3FE1-4DDF-9C25-77A4C3020614	FUNCTIONAL	MOVING CONSTANT SPEED	35	No	2015	FORD	F150	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP3330000R	220053992	Montgomery County Police	Property Damage Crash	2022-12-07T07:34:00.000	County	SINGLE VEHICLE	RAINING	WET	DAYLIGHT	NO CONTROLS	OTHER	9CD249DE-597C-46DF-BD12-AA786090D90F	Yes	NO APPARENT INJURY	UNKNOWN	7E896770-CA28-48EC-85BF-50A68BFFEDFA	DISABLING	MOVING CONSTANT SPEED	40	No	2014	HONDA	CRV	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP2203006M	220053990	Montgomery County Police	Property Damage Crash	2022-12-07T07:30:00.000	Maryland (State)	SAME DIR REAR END	RAINING	WET	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	3EAB019A-7059-44A1-8022-2F8A3628836D	No	NO APPARENT INJURY	NOT DISTRACTED	41F0E28E-4B7A-4E3B-9E99-868696340AF7	SUPERFICIAL	STOPPED IN TRAFFIC LANE	40	No	2011	JEEP	WRANGLER	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP2203006M	220053990	Montgomery County Police	Property Damage Crash	2022-12-07T07:30:00.000	Maryland (State)	SAME DIR REAR END	RAINING	WET	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	D8BAF3AA-A4C8-4CC3-82B6-2B3BD89FCD49	Yes	NO APPARENT INJURY	NOT DISTRACTED	4FDD5272-59DE-4449-B051-D75CAE312D29	DISABLING	SLOWING OR STOPPING	40	No	2014	HOND	CIVIC	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP157500DC	220053986	Montgomery County Police	Property Damage Crash	2022-12-07T06:49:00.000	County	SAME DIR REAR END	FOGGY	WET	DAWN	NO CONTROLS	NONE DETECTED	4B54E530-4944-4C86-94B0-B6F78DDC1EF9	Yes	NO APPARENT INJURY	NOT DISTRACTED	AF0E962E-2B1E-472E-9D0F-C6B99FF2C773	DISABLING	SKIDDING	45	No	2020	JEEP	TK	NO MISUSE	MD	(SPORT) UTILITY VEHICLE	UNKNOWN
MCP157500DC	220053986	Montgomery County Police	Property Damage Crash	2022-12-07T06:49:00.000	County	SAME DIR REAR END	FOGGY	WET	DAWN	NO CONTROLS	NONE DETECTED	56E7839E-66D2-48DE-8FCB-6160BDD15C4B	No	NO APPARENT INJURY	NOT DISTRACTED	2CCF3877-0617-465F-B23A-A305DA3936B8	FUNCTIONAL	SLOWING OR STOPPING	45	No	2021	NISS	UT	OTHER	MD	(SPORT) UTILITY VEHICLE	UNKNOWN
MCP3322001C	220053891	Montgomery County Police	Property Damage Crash	2022-12-07T05:29:00.000	UNKNOWN	SAME DIRECTION RIGHT TURN	CLOUDY	WET	DARK LIGHTS ON	TRAFFIC SIGNAL	OTHER	DAA99AE8-216D-498E-8D6D-E48AEA7582C6	Yes	NO APPARENT INJURY	NOT DISTRACTED	DD7EF83A-4991-471D-A8EB-6AA1E7C7EDD6	SUPERFICIAL	CHANGING LANES	40	No	2007	NISSAN	TK	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP3322001C	220053891	Montgomery County Police	Property Damage Crash	2022-12-07T05:29:00.000	UNKNOWN	SAME DIRECTION RIGHT TURN	CLOUDY	WET	DARK LIGHTS ON	TRAFFIC SIGNAL	OTHER	00FEEC20-34EB-4A70-8173-EA05E5E5C0FA	No	NO APPARENT INJURY	NOT DISTRACTED	B0C69934-DA6B-445F-A35D-B691F565D4E8	SUPERFICIAL	STOPPED IN TRAFFIC LANE	40	No	2009	GILLIE	LOW FLOOR	NO MISUSE	MD	TRANSIT BUS	UNKNOWN
MCP2857003V	220053979	Montgomery County Police	Property Damage Crash	2022-12-07T03:19:00.000	County	SINGLE VEHICLE	FOGGY	WET	DARK LIGHTS ON	FLASHING TRAFFIC SIGNAL	NONE DETECTED	DB36E673-5B77-4972-9F89-3B281F97D4D6	No	NO APPARENT INJURY	NOT DISTRACTED	6544C209-9DB8-4180-9B2A-282252AA3DCB	DISABLING	MOVING CONSTANT SPEED	45	No	2022	MAZDA	3	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP31270022	220053975	Montgomery County Police	Property Damage Crash	2022-12-07T00:35:00.000	County	OTHER	CLEAR	WET	DARK LIGHTS ON	FLASHING TRAFFIC SIGNAL	OTHER	051FC941-98C4-4D7F-B2E6-BBFF3D3BC17F	Yes	NO APPARENT INJURY	NOT DISTRACTED	437E060A-B357-43A3-B524-690DBBAB64BB	DISABLING	MOVING CONSTANT SPEED	25	No	2023	HYUNDAI	SANTA CRUZ	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP32990025	220053971	Montgomery County Police	Property Damage Crash	2022-12-06T23:05:00.000	County	SAME DIR REAR END	RAINING	WET	DARK NO LIGHTS	NO CONTROLS	NONE DETECTED	CE1DFDB5-5FB6-42CB-A2D4-CDD57032EA38	Yes	NO APPARENT INJURY	NOT DISTRACTED	7F28F0DF-CE96-48E4-A408-35557BCE6CED	DISABLING	MOVING CONSTANT SPEED	25	No	2006	CHEVROLET	4S	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
DD5646002G	220053956	Rockville Police Departme	Property Damage Crash	2022-12-06T21:23:00.000	Municipality	STRAIGHT MOVEMENT ANGLE	RAINING	WET	DARK LIGHTS ON	NO CONTROLS	NONE DETECTED	1975AE08-80F2-4A6B-AEE3-20E49FAF910D	Yes	NO APPARENT INJURY	UNKNOWN	194F9249-BD8D-4BC8-87E4-5E11A943AB43	DISABLING	ENTERING TRAFFIC LANE	25	No	2019	HONDA	UT	OTHER	MD	PASSENGER CAR	UNKNOWN
