report_number	local_case_number	agency_name	acrs_report_type	crash_date_time	hit_run	at_fault	collision_type	weather	surface_condition	light	driver_substance_abuse	fixed_oject_struck	road_condition	lane_type	related_non_motorist	non_motorist_substance_abuse
MCP3053005N	220049569	Montgomery County Police	Property Damage Crash	2022-11-09T18:23:00.000	No	DRIVER	OTHER	CLEAR	DRY	DARK LIGHTS ON	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3040005J	220049558	Montgomery County Police	Injury Crash	2022-11-09T18:00:00.000	No	DRIVER	SAME DIRECTION LEFT TURN	CLEAR	DRY	DARK NO LIGHTS	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2215001X	220049557	Montgomery County Police	Injury Crash	2022-11-09T17:33:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DARK NO LIGHTS	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP28100020	220049555	Montgomery County Police	Property Damage Crash	2022-11-09T17:30:00.000	No	DRIVER	SAME DIR REAR END	OTHER	OTHER	DARK LIGHTS ON	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
DD561500DH	220049550	Rockville Police Departme	Injury Crash	2022-11-09T17:30:00.000	No	DRIVER	SAME DIR REAR END	OTHER	DRY	DUSK	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP1378012P	220049549	Montgomery County Police	Injury Crash	2022-11-09T17:00:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DUSK	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP27610042	220049547	Montgomery County Police	Property Damage Crash	2022-11-09T16:56:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP1233004W	220049544	Montgomery County Police	Property Damage Crash	2022-11-09T16:40:00.000	No	DRIVER	SAME DIR REAR END	OTHER	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP27610041	220049850	Montgomery County Police	Property Damage Crash	2022-11-09T16:30:00.000	Yes	DRIVER	SAME DIR REAR END	CLEAR	OTHER	DAYLIGHT	NONE DETECTED, UNKNOWN	OTHER	OTHER	OTHER	OTHER	UNKNOWN
EJ78990002	220049531	Gaithersburg Police Depar	Property Damage Crash	2022-11-09T15:50:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2679003L	220049561	Montgomery County Police	Injury Crash	2022-11-09T15:30:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP1378012N	220049521	Montgomery County Police	Property Damage Crash	2022-11-09T15:28:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3268002G	220049512	Montgomery County Police	Injury Crash	2022-11-09T14:43:00.000	No	NONMOTORIST	OTHER	CLEAR	DRY	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	PEDESTRIAN	UNKNOWN
MCP1550003Z	220049514	Montgomery County Police	Injury Crash	2022-11-09T14:42:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER POLE	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2203006G	220049499	Montgomery County Police	Injury Crash	2022-11-09T13:30:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3113004D	220049489	Montgomery County Police	Property Damage Crash	2022-11-09T13:15:00.000	No	DRIVER	SAME DIRECTION RIGHT TURN	CLEAR	DRY	DAYLIGHT	OTHER	EMBANKMENT	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP235300B7	220049484	Montgomery County Police	Injury Crash	2022-11-09T12:34:00.000	No	DRIVER	SAME DIR REAR END	OTHER	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2753005W	220049473	Montgomery County Police	Injury Crash	2022-11-09T11:53:00.000	No	DRIVER	HEAD ON	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3010007H	220049480	Montgomery County Police	Property Damage Crash	2022-11-09T11:50:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP32010036	220049471	Montgomery County Police	Property Damage Crash	2022-11-09T11:38:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	OTHER	DAYLIGHT	NONE DETECTED	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP20720063	220049472	Montgomery County Police	Injury Crash	2022-11-09T11:38:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	LEFT TURN LANE	OTHER	UNKNOWN
MCP3064004S	220054956	Montgomery County Police	Property Damage Crash	2022-11-09T11:00:00.000	Yes	UNKNOWN	OTHER	CLEAR	DRY	DAYLIGHT	NONE DETECTED, UNKNOWN	TREE SHRUBBERY	NO DEFECTS	SHOULDER AREA	OTHER	UNKNOWN
MCP2881004Z	220049440	Montgomery County Police	Property Damage Crash	2022-11-09T09:00:00.000	No	DRIVER	OPPOSITE DIRECTION SIDESWIPE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2487002V	220049433	Montgomery County Police	Injury Crash	2022-11-09T07:56:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2622003F	220049431	Montgomery County Police	Property Damage Crash	2022-11-09T07:52:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2411009H	220049423	Montgomery County Police	Injury Crash	2022-11-09T07:33:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
DD5583007M	220049420	Rockville Police Departme	Property Damage Crash	2022-11-09T07:05:00.000	Yes	DRIVER	OTHER	CLEAR	OTHER	DAYLIGHT	OTHER	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP3061001Z	220049410	Montgomery County Police	Property Damage Crash	2022-11-09T04:43:00.000	Yes	DRIVER	SINGLE VEHICLE	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	TREE SHRUBBERY	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3233003H	220049705	Montgomery County Police	Property Damage Crash	2022-11-08T19:52:00.000	No	DRIVER	SAME DIR BOTH LEFT TURN	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	RIGHT TURN LANE	OTHER	UNKNOWN
EJ78990001	220049356	Gaithersburg Police Depar	Injury Crash	2022-11-08T17:46:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP30380060	220049354	Montgomery County Police	Property Damage Crash	2022-11-08T17:35:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3342000F	220049358	Montgomery County Police	Injury Crash	2022-11-08T17:29:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	DRY	DARK NO LIGHTS	NONE DETECTED	TREE SHRUBBERY	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2783004J	220049357	Montgomery County Police	Injury Crash	2022-11-08T17:29:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	EMBANKMENT	NO DEFECTS	OTHER	OTHER	UNKNOWN
EJ78840056	220049351	Gaithersburg Police Depar	Property Damage Crash	2022-11-08T17:23:00.000	Yes	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DARK -- UNKNOWN LIGHTING	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP1233004V	220049362	Montgomery County Police	Injury Crash	2022-11-08T17:18:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK NO LIGHTS	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP9428004Y	220049339	Montgomery County Police	Property Damage Crash	2022-11-08T16:25:00.000	No	DRIVER	SAME DIR REAR END	OTHER	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
EJ7844001F	220049323	Gaithersburg Police Depar	Injury Crash	2022-11-08T15:15:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP24560070	220049322	Montgomery County Police	Property Damage Crash	2022-11-08T15:15:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	CURB	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2214000Z	220049326	Montgomery County Police	Injury Crash	2022-11-08T15:14:00.000	No	NONMOTORIST	SINGLE VEHICLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	PEDESTRIAN	NONE DETECTED
EJ78990003	220049320	Gaithersburg Police Depar	Injury Crash	2022-11-08T15:13:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	RIGHT TURN LANE	OTHER	UNKNOWN
MCP3254002K	220049325	Montgomery County Police	Injury Crash	2022-11-08T15:06:00.000	No	DRIVER	HEAD ON LEFT TURN	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2102003M	220049319	Montgomery County Police	Property Damage Crash	2022-11-08T14:30:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3258002T	220049298	Montgomery County Police	Property Damage Crash	2022-11-08T13:47:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	LEFT TURN LANE	OTHER	UNKNOWN
MCP32270041	220049327	Montgomery County Police	Property Damage Crash	2022-11-08T13:38:00.000	No	DRIVER	OPPOSITE DIRECTION SIDESWIPE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3129005B	220049292	Montgomery County Police	Property Damage Crash	2022-11-08T13:27:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP235300B6	220049294	Montgomery County Police	Property Damage Crash	2022-11-08T13:15:00.000	Yes	DRIVER	HEAD ON	OTHER	DRY	DAYLIGHT	NONE DETECTED, UNKNOWN	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2830005Q	220049299	Montgomery County Police	Property Damage Crash	2022-11-08T12:57:00.000	No	DRIVER	OTHER	CLEAR	OTHER	DAYLIGHT	NONE DETECTED	OTHER	OTHER	OTHER	OTHER	UNKNOWN
DD5620008H	220049276	Rockville Police Departme	Property Damage Crash	2022-11-08T12:35:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2496003R	220049274	Montgomery County Police	Property Damage Crash	2022-11-08T12:31:00.000	No	DRIVER	HEAD ON	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2837004R	220049263	Montgomery County Police	Injury Crash	2022-11-08T11:45:00.000	No	UNKNOWN	HEAD ON LEFT TURN	OTHER	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2496003S	220050853	Montgomery County Police	Property Damage Crash	2022-11-08T11:00:00.000	Yes	DRIVER	OTHER	CLOUDY	DRY	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3048008V	220049258	Montgomery County Police	Property Damage Crash	2022-11-08T11:00:00.000	Yes	DRIVER	OTHER	CLEAR	OTHER	DAYLIGHT	OTHER	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP93790048	220049238	Montgomery County Police	Property Damage Crash	2022-11-08T09:30:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	FENCE	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3238001Z	220049223	Montgomery County Police	Property Damage Crash	2022-11-08T08:10:00.000	No	DRIVER	SAME DIR REAR END	OTHER	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP209400KV	220049222	Montgomery County Police	Property Damage Crash	2022-11-08T07:55:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	LEFT TURN LANE	OTHER	UNKNOWN
MCP1227001R	220049219	Montgomery County Police	Fatal Crash	2022-11-08T07:20:00.000	No	UNKNOWN	SINGLE VEHICLE	CLEAR	DRY	DAYLIGHT	ALCOHOL CONTRIBUTED	OTHER	NO DEFECTS	OTHER	PEDESTRIAN	NONE DETECTED
MCP2456006Z	220049221	Montgomery County Police	Property Damage Crash	2022-11-08T05:16:00.000	Yes	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK -- UNKNOWN LIGHTING	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2464002Q	220048536	Montgomery County Police	Property Damage Crash	2022-11-08T01:20:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	MUD, DIRT, GRAVEL	DARK LIGHTS ON	NONE DETECTED	OTHER	LOOSE SURFACE MATERIAL	OTHER	OTHER	UNKNOWN
MCP1210005M	220049332	Montgomery County Police	Injury Crash	2022-11-07T20:10:00.000	Yes	DRIVER	SAME DIR REAR END	OTHER	OTHER	DARK NO LIGHTS	NONE DETECTED, UNKNOWN	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP32200038	220049192	Montgomery County Police	Property Damage Crash	2022-11-07T20:06:00.000	Yes	DRIVER	OPPOSITE DIRECTION SIDESWIPE	CLEAR	DRY	DUSK	NONE DETECTED, UNKNOWN	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3337000V	220049173	Montgomery County Police	Injury Crash	2022-11-07T18:13:00.000	No	DRIVER	HEAD ON LEFT TURN	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER CONVEYANCE	NONE DETECTED
MCP33350012	220049171	Montgomery County Police	Property Damage Crash	2022-11-07T17:39:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DARK LIGHTS ON	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
DD5567000W	220049166	Rockville Police Departme	Injury Crash	2022-11-07T17:09:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP30440060	220049169	Montgomery County Police	Property Damage Crash	2022-11-07T16:58:00.000	Yes	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP31970034	220049157	Montgomery County Police	Property Damage Crash	2022-11-07T16:33:00.000	Yes	DRIVER	SAME DIR REND RIGHT TURN	CLEAR	OTHER	DAYLIGHT	OTHER	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP3122004K	220049149	Montgomery County Police	Injury Crash	2022-11-07T16:30:00.000	No	UNKNOWN	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3168004X	220049153	Montgomery County Police	Injury Crash	2022-11-07T16:15:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP1378012M	220049146	Montgomery County Police	Property Damage Crash	2022-11-07T16:07:00.000	No	DRIVER	HEAD ON	OTHER	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3044005Z	220049139	Montgomery County Police	Injury Crash	2022-11-07T16:05:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2298011W	220049143	Montgomery County Police	Injury Crash	2022-11-07T16:04:00.000	No	BOTH	SINGLE VEHICLE	CLEAR	DRY	DUSK	NONE DETECTED	OTHER	NO DEFECTS	OTHER	PEDESTRIAN	UNKNOWN
MCP3279001M	220049135	Montgomery County Police	Injury Crash	2022-11-07T15:43:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	CURB	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP9419003X	220049126	Montgomery County Police	Injury Crash	2022-11-07T14:36:00.000	No	DRIVER	OTHER	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	PEDESTRIAN	NONE DETECTED
DD5620008F	220049124	Rockville Police Departme	Injury Crash	2022-11-07T14:25:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP1378012L	220049120	Montgomery County Police	Property Damage Crash	2022-11-07T14:12:00.000	No	DRIVER	OPPOSITE DIRECTION SIDESWIPE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3064004R	220049105	Montgomery County Police	Injury Crash	2022-11-07T12:50:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	CROSSOVER AREA	OTHER	UNKNOWN
MCP2603004F	220049102	Montgomery County Police	Property Damage Crash	2022-11-07T12:35:00.000	No	DRIVER	SAME DIR REND LEFT TURN	CLEAR	DRY	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2832007L	220049107	Montgomery County Police	Property Damage Crash	2022-11-07T12:33:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
DD559500C7	220049090	Rockville Police Departme	Property Damage Crash	2022-11-07T11:20:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	OTHER	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP32200037	220049092	Montgomery County Police	Property Damage Crash	2022-11-07T10:43:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	GUARDRAIL OR BARRIER	NO DEFECTS	OTHER	OTHER	UNKNOWN
DM84760047	220045349	Takoma Park Police Depart	Injury Crash	2022-11-07T10:30:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLOUDY	DRY	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP1564006W	220049077	Montgomery County Police	Injury Crash	2022-11-07T10:02:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	SIGN SUPPORT POLE	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2055003D	220049074	Montgomery County Police	Property Damage Crash	2022-11-07T10:00:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	LEFT TURN LANE	OTHER	UNKNOWN
MCP2181004Q	220049064	Montgomery County Police	Injury Crash	2022-11-07T09:19:00.000	Yes	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3060003Q	220049060	Montgomery County Police	Property Damage Crash	2022-11-07T08:37:00.000	Yes	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DAYLIGHT	NONE DETECTED, UNKNOWN	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP9442002Q	220049061	Montgomery County Police	Property Damage Crash	2022-11-07T08:00:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	WET	DAYLIGHT	NONE DETECTED	LIGHT SUPPORT POLE	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2016006K	220049053	Montgomery County Police	Injury Crash	2022-11-07T07:50:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	OTHER	DAYLIGHT	UNKNOWN, NONE DETECTED	OTHER	NO DEFECTS	LEFT TURN LANE	OTHER	UNKNOWN
MCP30090056	220049052	Montgomery County Police	Property Damage Crash	2022-11-07T07:40:00.000	No	DRIVER	SINGLE VEHICLE	CLOUDY	WET	DAYLIGHT	OTHER	CURB	NO DEFECTS	LEFT TURN LANE	OTHER	UNKNOWN
EJ78880033	220049048	Gaithersburg Police Depar	Property Damage Crash	2022-11-07T06:55:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP297700B0	220049045	Montgomery County Police	Property Damage Crash	2022-11-07T06:28:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DUSK	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3008003F	220049043	Montgomery County Police	Injury Crash	2022-11-07T05:15:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2121002H	220049044	Montgomery County Police	Property Damage Crash	2022-11-07T04:51:00.000	No	UNKNOWN	SINGLE VEHICLE	FOGGY	WET	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2335001T	220049038	Montgomery County Police	Property Damage Crash	2022-11-07T02:45:00.000	No	UNKNOWN	SINGLE VEHICLE	CLEAR	DRY	DARK NO LIGHTS	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP31580044	220049039	Montgomery County Police	Injury Crash	2022-11-07T02:44:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	WET	DARK NO LIGHTS	NONE DETECTED	OTHER	NO DEFECTS	OFF ROAD	OTHER	UNKNOWN
MCP2401001M	220049034	Montgomery County Police	Injury Crash	2022-11-07T00:09:00.000	No	UNKNOWN	STRAIGHT MOVEMENT ANGLE	CLEAR	WET	DARK LIGHTS ON	UNKNOWN, NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3277002B	220049019	Montgomery County Police	Property Damage Crash	2022-11-06T21:07:00.000	No	DRIVER	SINGLE VEHICLE	FOGGY	WET	DARK LIGHTS ON	NONE DETECTED	LIGHT SUPPORT POLE	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3193003X	220049004	Montgomery County Police	Property Damage Crash	2022-11-06T18:25:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DARK LIGHTS ON	ALCOHOL CONTRIBUTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3263002S	220049002	Montgomery County Police	Property Damage Crash	2022-11-06T18:00:00.000	No	DRIVER	HEAD ON LEFT TURN	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP31920039	220048998	Montgomery County Police	Injury Crash	2022-11-06T17:29:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DUSK	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP23990066	220048996	Montgomery County Police	Injury Crash	2022-11-06T17:00:00.000	No	DRIVER	SINGLE VEHICLE	OTHER	WET	DUSK	NONE DETECTED	CURB	NO DEFECTS	OTHER	OTHER	UNKNOWN
DD5642003X	220048993	Rockville Police Departme	Property Damage Crash	2022-11-06T16:34:00.000	No	DRIVER	SINGLE VEHICLE	RAINING	WET	DAWN	NONE DETECTED	LIGHT SUPPORT POLE	NO DEFECTS	OTHER	OTHER	UNKNOWN
EJ7878004R	220048982	Gaithersburg Police Depar	Property Damage Crash	2022-11-06T15:30:00.000	Yes	DRIVER	SAME DIRECTION SIDESWIPE	RAINING	WET	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2882002L	220048977	Montgomery County Police	Injury Crash	2022-11-06T15:29:00.000	No	DRIVER	SINGLE VEHICLE	RAINING	WET	DAYLIGHT	NONE DETECTED	CURB	OTHER	OTHER	OTHER	UNKNOWN
EJ7885002L	220049872	Gaithersburg Police Depar	Injury Crash	2022-11-06T15:07:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	SIGN SUPPORT POLE	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP32890023	220048992	Montgomery County Police	Property Damage Crash	2022-11-06T14:48:00.000	Yes	DRIVER	SAME DIRECTION RIGHT TURN	CLOUDY	OTHER	DAYLIGHT	NONE DETECTED, UNKNOWN	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3272001S	220048965	Montgomery County Police	Property Damage Crash	2022-11-06T13:45:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
EJ7858007D	220048959	Gaithersburg Police Depar	Injury Crash	2022-11-06T13:20:00.000	No	UNKNOWN	HEAD ON	CLOUDY	DRY	DAYLIGHT	NONE DETECTED	OTHER	FOREIGN MATERIAL	OTHER	OTHER	UNKNOWN
EJ7858007F	220048968	Gaithersburg Police Depar	Property Damage Crash	2022-11-06T13:00:00.000	Yes	DRIVER	OPPOSITE DIRECTION SIDESWIPE	CLOUDY	OTHER	DAYLIGHT	NONE DETECTED, UNKNOWN	OTHER	OTHER	OTHER	OTHER	UNKNOWN
